name,categories,address,phone,rating,url
The Woods at Ridgeway,Apartments,"6277 Lake Arbor Dr,
Memphis, TN 38115-3483",(901) 367-2788,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/the-woods-at-ridgeway-0543-44046716
Mateo Square Apartments,Apartments,"5111 Ridgeway Blvd,
Memphis, TN 38115",(901) 365-6111,BBB Rating: NR,https://www.bbb.org/us/tn/memphis/profile/apartments/mateo-square-apartments-0543-44075553
The Sunshine Corporation,"Property Management, Apartments","6332 E Village Grove Pl (Ridgeway Terrace),
Memphis, TN 38115",(901) 794-6734,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/the-sunshine-corporation-0543-6721
Stonebrook Apartments,Apartments,"6371 Winchester Rd,
Memphis, TN 38115",(901) 308-2580,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/stonebrook-apartments-0543-44078805
Parc 1346 Apartment Homes - Fogleman,Apartments,"6060 Poplar Ave #200,
Memphis, TN 38119",(423) 402-8160,BBB Rating: C+,https://www.bbb.org/us/tn/chattanooga/profile/apartments/parc-1346-apartment-homes-fogleman-0483-37001047
The Dream Apartments,Apartments,"7885 Silver Spur Cir N,
Memphis, TN 38119-1001",(901) 425-9980,BBB Rating: A,https://www.bbb.org/us/tn/memphis/profile/apartments/the-dream-apartments-0543-44168477
Vantage at Germantown,Apartments,"7885 Silver Spur Cir N,
Memphis, TN 38119-1001",(901) 425-9980,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/vantage-at-germantown-0543-44153266
"H.M. Heckle & Company, Inc.","Property Management, Apartments, Real Estate Rentals","1867 Poplar Ave (Poplar Pines Apartment),
Memphis, TN 38119",(901) 761-0655,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/hm-heckle-company-inc-0543-6815
"H.M. Heckle & Company, Inc.","Property Management, Apartments, Real Estate Rentals","1867 Poplar Pines Dr (Poplar Pines/PPWest Apt),
Memphis, TN 38119",(901) 761-0655,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/hm-heckle-company-inc-0543-6815
"Fogelman Properties, Inc.","Property Management, Apartments, Real Estate Consultant","6060 Poplar Ave Ste 200,
Memphis, TN 38119-3959",(901) 767-6500,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
MAA,"Property Management, Apartments, Real Estate Rentals","960 Catbird Ct,
Memphis, TN 38119",(866) 620-1130,BBB Rating: A+,https://www.bbb.org/us/tn/germantown/profile/property-management/maa-0543-31000112
"Heritage Hamilton Apartments, LLC",Apartments,"5350 Poplar Ave,
Memphis, TN 38119-3699",(423) 634-3006,BBB Rating: A+,https://www.bbb.org/us/tn/chattanooga/profile/apartments/heritage-hamilton-apartments-llc-0483-40108152
"Heritage Hamilton Apartments, LLC",Apartments,"6263 Poplar Ave STE 940,
Memphis, TN 38119-4774",(423) 634-3006,BBB Rating: A+,https://www.bbb.org/us/tn/chattanooga/profile/apartments/heritage-hamilton-apartments-llc-0483-40108152
"Maclellan Apartments, LLC",Apartments,"5350 Poplar Ave STE 730,
Memphis, TN 38119-3697",(423) 498-2106,BBB Rating: A+,https://www.bbb.org/us/tn/chattanooga/profile/apartments/maclellan-apartments-llc-0483-40108154
"Maclellan Apartments, LLC",Apartments,"6263 Poplar Ave STE 940,
Memphis, TN 38119-4774",(423) 498-2106,BBB Rating: A+,https://www.bbb.org/us/tn/chattanooga/profile/apartments/maclellan-apartments-llc-0483-40108154
Tree Haven Glenn Apartments,Apartments,"6075 Poplar Ave STE 630,
Memphis, TN 38119-4702",(256) 881-6201,BBB Rating: A+,https://www.bbb.org/us/al/huntsville/profile/apartments/tree-haven-glenn-apartments-0513-900089241
Courts at Waterford Place,Apartments,"5545 Murray Ave 3rd FL,
Memphis, TN 38119",(901) 435-9300,BBB Rating: A-,https://www.bbb.org/us/tn/chattanooga/profile/apartments/courts-at-waterford-place-0483-31000023
Richard & Milton Grant LLC,Apartments,"7542 Legacy Drive,
Memphis, TN 38119",(901) 755-8480,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/richard-milton-grant-llc-0543-44015254
Ridgeway Holdings LLC,Apartments,"6033 Bangalore Ct,
Memphis, TN 38119-7200",(901) 767-1830,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/ridgeway-holdings-llc-0543-44123958
"Apartment Management Group, LLC",Apartments,"5264 Poplar Ave,
Memphis, TN 38119",(901) 761-3333,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/apartment-management-group-llc-0543-44010434
